Portfolio,Date,Ticker,Action,Quantity,Price
FamilyPortfolio,04/09/26,ABCAPITAL.NS,BUY,35,339.9
FamilyPortfolio,04/09/26,WAAREEENER.NS,BUY,3,3146.6
FamilyPortfolio,04/09/26,NAVINFLUOR.NS,BUY,2,6029
FamilyPortfolio,04/09/26,SAGILITY.NS,BUY,250,42.84
FamilyPortfolio,04/09/26,APLAPOLLO.NS,BUY,5,2035.6
FamilyPortfolio,04/09/26,APARINDS.NS,BUY,1,10736.5
FamilyPortfolio,04/09/26,TVSMOTOR.NS,BUY,3,3714.1
FamilyPortfolio,04/09/26,GRAVITA.NS,BUY,7,1497.2
FamilyPortfolio,04/09/26,TRAVELFOOD.NS,BUY,8,1292.53
FamilyPortfolio,04/09/26,KPIL.NS,BUY,9,1151.29
FamilyPortfolio,04/09/26,FEDERALBNK.NS,BUY,45,283.9
FamilyPortfolio,04/09/26,LAURUSLABS.NS,BUY,10,1083.35
FamilyPortfolio,04/09/26,SHRIRAMFIN.NS,BUY,10,1006.35
FamilyPortfolio,04/09/26,NH.NS,BUY,7,1725.4
FamilyPortfolio,04/09/26,LGEINDIA.NS,BUY,8,1430
FamilyPortfolio,4/15/2026,INOXWIND.NS,BUY,100,93.05
FamilyPortfolio,4/15/2026,NH.NS,BUY,3,1811
FamilyPortfolio,4/15/2026,QPOWER.NS,BUY,10,1103.7
FamilyPortfolio,4/15/2026,SHRIRAMFIN.NS,BUY,7,1030.15
FamilyPortfolio,4/15/2026,TVSMOTOR.NS,BUY,2,3791
FamilyPortfolio,4/15/2026,WAAREEENER.NS,BUY,3,3414.3
FamilyPortfolio,4/20/2026,WABAG.NS,BUY,20,1429
FamilyPortfolio,4/20/2026,WAAREEENER.NS,BUY,4,3504.9
FamilyPortfolio,4/20/2026,LGEINDIA.NS,BUY,10,1579
FamilyPortfolio,4/20/2026,ELECON.NS,BUY,60,430.35
FamilyPortfolio,4/20/2026,ABCAPITAL.NS,BUY,50,341.05
FamilyPortfolio,4/20/2026,KPIL.NS,BUY,15,1240.9
FamilyPortfolio,4/20/2026,INOXWIND.NS,BUY,150,97.95
FamilyPortfolio,4/22/2026,NETWEB.NS,BUY,4,4092
FamilyPortfolio,4/22/2026,SHRIRAMFIN.NS,BUY,10,1041
FamilyPortfolio,4/22/2026,NH.NS,BUY,7,1810.7
FamilyPortfolio,4/22/2026,INOXWIND.NS,BUY,100,102.99
FamilyPortfolio,4/22/2026,QPOWER.NS,BUY,10,1274.85
